Speed,Vertical_Acceleration,Lateral_Acceleration,Longitudinal_Acceleration,Roll,Pitch,Yaw
130.1,-0.007,-0.006,-0.016,-1.576,-0.071,-2.981
90.7,-0.022,0.001,0.011,-1.52,-0.011,0.561
90.1,-0.001,-0.007,-0.027,-1.527,-0.034,1.834
140.1,0.017,-0.019,0.018,-1.576,0.018,-2.444
89.4,0,-0.011,-0.01,-1.602,0.012,-1.249
110.1,-0.013,-0.011,-0.001,-1.567,0.023,-1.243
101.5,-0.026,-0.046,0.01,-1.566,-0.014,-1.759
88.8,-0.025,0.002,-0.001,-1.561,-0.042,1.861
79.8,0.004,0.001,0.003,-1.591,0.005,-0.278
88.2,-0.027,0.019,0.055,-1.463,0.045,-1.461
122.7,-0.005,-0.004,0.01,-1.594,-0.005,-0.989
90.8,-0.017,0.015,-0.079,-1.418,0.008,3.111
129.3,-0.019,-0.016,0.006,-1.548,0.003,0.1
82.8,-0.007,0.027,-0.012,-1.587,0.027,0.015
88.3,-0.018,0.012,0.058,-1.553,-0.013,-0.23
78.6,-0.029,-0.014,-0.007,-1.539,0.023,-1.427
83.7,-0.008,0.013,0.006,-1.515,0.01,-0.3
98.7,0.025,-0.011,0.001,-1.498,0.027,1.718
104.7,0.002,0.007,-0.026,-1.548,-0.041,-1.417
80.4,-0.006,-0.034,-0.032,-1.569,-0.037,1.524
88.8,-0.029,0.027,-0.008,-1.602,0.005,0.299
98.3,0.001,0.013,0.022,-1.521,0.025,2.833
99.2,0.009,0.006,-0.079,-1.593,-0.043,0.076
93.6,-0.111,-0.395,0.015,-1.496,-0.386,-0.385
103.6,-0.024,-0.012,0.053,-1.622,-0.008,-1.42
96.6,-0.014,0,-0.005,-1.502,-0.014,1.652
98,-0.006,0.114,0,-1.698,-0.039,-0.015
104.7,-0.01,-0.015,0.001,-1.553,-0.012,-3.047
80.2,0.003,-0.005,-0.017,-1.554,0.023,0.028
113.3,-0.004,0.024,0.008,-1.542,0.039,-0.558
101.6,0.023,0.006,0.051,-1.549,0.029,0.148
97.7,-0.007,0.023,-0.048,-1.574,0.012,-0.078
60.1,-0.023,-0.034,-0.01,-1.683,0.251,0.628
102.3,-0.042,-0.037,-0.007,-1.55,-0.007,2.075
101.5,0.013,-0.007,0.028,-1.567,-0.094,-0.14
91.8,0.01,0.009,0,-1.637,0.014,0.293
44.5,-0.008,0,0.041,-1.539,0.005,-1.107
85.2,0.03,-0.037,0.039,-1.631,-0.014,-0.62
122.1,-0.001,0.005,0,-1.55,0.011,0.173
119.7,-0.01,-0.004,-0.003,-1.548,-0.052,-0.9
90.3,-0.067,-0.064,0.057,-1.577,-0.023,-1.268
105,-0.02,0.019,0.034,-1.558,0.006,0.143
120.7,0.005,-0.012,-0.017,-1.55,-0.057,-0.863
96.8,-0.012,0.002,0.016,-1.54,-0.001,1.057
98.9,-0.031,-0.008,-0.015,-1.616,0.001,3.114
82.4,0.005,0.004,-0.028,-1.564,-0.005,0.087
99.1,-0.004,0.02,-0.01,-1.549,-0.035,-0.179
108.5,-0.019,-0.017,0.002,-1.56,-0.015,2.536
95.5,0.022,-0.004,0.014,-1.578,-0.022,-2.739
86.2,-0.089,-0.001,0.007,-1.554,0.036,0.82
106.2,0.004,0.069,-0.057,-1.578,0.021,-0.745
142.1,-0.133,0.013,-0.037,-1.592,-0.015,2.821
141.4,-0.025,0.075,0.017,-1.559,-0.064,0.434
61.3,-0.048,-0.151,-0.025,-1.533,0.146,0.727
83,-0.013,-0.004,0.043,-1.536,-0.028,-2.825
98,-0.047,0.021,-0.066,-1.591,-0.015,0.014
96.8,0.025,-0.016,0.006,-1.598,0.001,0.171
83.4,-0.023,0.02,-0.02,-1.558,-0.02,0.447
109.9,0.042,0.006,-0.052,-1.522,-0.022,-3.061
75.1,-0.026,-0.013,-0.003,-1.497,0.008,2.965
94.3,-0.025,0.019,-0.025,-1.535,-0.02,2.303
88.3,-0.034,-0.005,0.005,-1.565,-0.033,1.853
88.5,-0.106,0.035,-0.005,-1.575,0.017,0.273
125.8,0.018,-0.006,0.026,-1.57,-0.017,-3.074
89,0.003,-0.012,0.007,-1.591,0.021,-1.837
90,-0.015,-0.026,0.01,-1.509,-0.087,-2.374
97.7,-0.016,0.006,-0.002,-1.55,-0.014,-0.083
97,0.01,0.007,0.002,-1.62,0.011,-0.43
109,0,0.008,-0.01,-1.527,-0.023,1.716
73.9,0.005,-0.002,0.04,-1.514,-0.002,-2.881
87,-0.001,-0.019,0.01,-1.559,-0.026,1.815
87.3,-0.012,-0.002,0,-1.543,-0.015,0.783
86.3,-0.027,-0.044,-0.009,-1.571,-0.01,-3.022
79.5,-0.026,0.004,-0.02,-1.514,-0.056,-1.683
114.8,-0.008,0.004,0.009,-1.596,0.001,-1.383
112.4,0.012,-0.022,-0.015,-1.558,0.015,0.038
90.1,0.019,-0.014,-0.028,-1.538,0.009,-0.003
102.5,-0.025,-0.005,-0.001,-1.552,-0.018,-3.029
111.1,0.004,0.058,0.016,-1.638,0.017,1.868
93.3,-0.013,-0.004,0.003,-1.56,-0.018,-0.057
100.4,-0.098,0.069,-0.089,-1.626,0.041,1.894
98.5,-0.072,0,-0.02,-1.569,0.046,-2.139
88.5,0.021,0.004,-0.012,-1.571,-0.034,1.832
